,GEOID,gent_index
0,25025000802,16.0
1,25025010600,10.0
2,25025040100,
3,25025040300,8.0
4,25025050400,17.0
5,25025051000,13.0
6,25025060400,16.0
7,25025060700,6.0
8,25025081500,8.0
9,25025090600,12.0
10,25025091500,9.0
11,25025170200,10.0
12,25025170800,14.0
13,25025120600,7.0
14,25025130100,10.0
15,25025140202,10.0
16,25025160300,6.0
17,25025170100,11.0
18,25025170300,7.0
19,25025180200,13.0
20,25025110501,11.0
21,25025180500,10.0
22,25025092200,9.0
23,25025091300,8.0
24,25025091700,13.0
25,25025100800,14.0
26,25025000401,16.0
27,25025160101,14.0
28,25025160501,15.0
29,25025160502,5.0
30,25025160601,7.0
31,25025160602,9.0
32,25025170501,14.0
33,25025140105,9.0
34,25025170502,14.0
35,25025170601,8.0
36,25025170701,8.0
37,25025020303,16.0
38,25025091400,8.0
39,25025000503,14.0
40,25025000504,12.0
41,25025040401,16.0
42,25025040801,8.0
43,25025050101,16.0
44,25025050901,15.0
45,25025051101,11.0
46,25025060101,16.0
47,25025060301,16.0
48,25025060501,12.0
49,25025061101,14.0
50,25025070101,9.0
51,25025070402,17.0
52,25025071101,12.0
53,25025080401,4.0
54,25025071201,10.0
55,25025080601,9.0
56,25025080801,7.0
57,25025081001,14.0
58,25025090901,7.0
59,25025091001,15.0
60,25025092101,13.0
61,25025100603,15.0
62,25025110103,15.0
63,25025110201,9.0
64,25025110301,12.0
65,25025110403,19.0
66,25025120103,10.0
67,25025120105,13.0
68,25025120201,17.0
69,25025110607,15.0
70,25025120104,13.0
71,25025120301,12.0
72,25025130404,11.0
73,25025170702,14.0
74,25025180101,11.0
75,25025180301,7.0
76,25025980101,
77,25025980300,
78,25025980700,
79,25025981000,
80,25025981100,14.0
81,25025981201,
82,25025981202,
83,25025981300,15.0
84,25025981501,
85,25025981502,
86,25025020200,11.0
87,25025030300,16.0
88,25025061000,11.0
89,25025061200,14.0
90,25025090100,6.0
91,25025090200,14.0
92,25025090700,16.0
93,25025091200,15.0
94,25025100300,16.0
95,25025101101,14.0
96,25025130300,12.0
97,25025140102,13.0
98,25025140300,12.0
99,25025180400,8.0
100,25025981600,
101,25025981700,
102,25025981800,
103,25025990101,
104,25025000703,13.0
105,25025000704,13.0
106,25025000803,15.0
107,25025130406,15.0
108,25025140106,8.0
109,25025140107,11.0
110,25025080900,13.0
111,25025081400,11.0
112,25025081800,7.0
113,25025090300,14.0
114,25025092300,15.0
115,25025160400,20.0
116,25025160200,9.0
117,25025170400,10.0
118,25025080100,9.0
119,25025120400,11.0
120,25025120700,7.0
121,25025140201,10.0
122,25025000402,13.0
123,25025000601,12.0
124,25025030200,12.0
125,25025030500,7.0
126,25025040200,19.0
127,25025050200,16.0
128,25025050300,20.0
129,25025050600,18.0
130,25025070300,9.0
131,25025070500,5.0
132,25025070800,9.0
133,25025010103,9.0
134,25025010104,13.0
135,25025010204,11.0
136,25025010404,11.0
137,25025010405,8.0
138,25025010203,10.0
139,25025010408,7.0
140,25025010701,7.0
141,25025010403,13.0
142,25025010702,13.0
143,25025010801,8.0
144,25025010802,8.0
145,25025020101,11.0
146,25025020301,7.0
147,25025020302,13.0
148,25025040600,12.0
149,25025051200,17.0
150,25025060800,13.0
151,25025070200,14.0
152,25025082000,16.0
153,25025070600,14.0
154,25025081300,11.0
155,25025081900,8.0
156,25025091100,16.0
157,25025100400,11.0
158,25025000302,13.0
159,25025000701,14.0
160,25025010500,8.0
161,25025030400,13.0
162,25025050500,18.0
163,25025070700,16.0
164,25025081200,13.0
165,25025081700,11.0
166,25025091900,8.0
167,25025100200,13.0
168,25025101002,18.0
169,25025110502,9.0
170,25025110601,8.0
171,25025130402,
172,25025140400,7.0
173,25025000201,15.0
174,25025000100,17.0
175,25025000202,12.0
176,25025000301,16.0
177,25025000502,13.0
178,25025010300,16.0
179,25025050700,17.0
180,25025080300,16.0
181,25025080500,15.0
182,25025081100,8.0
183,25025091600,14.0
184,25025100500,11.0
185,25025100900,17.0
186,25025110401,14.0
187,25025091800,9.0
188,25025092000,14.0
189,25025100100,15.0
190,25025100601,15.0
191,25025100700,13.0
192,25025101102,15.0
193,25025130200,12.0
194,25025060600,14.0
195,25025070900,7.0
196,25025092400,6.0
197,25025030100,11.0
198,25025000602,13.0
199,25025082100,15.0
200,25025060200,16.0
201,25025090400,5.0
202,25025120500,10.0
203,25025101001,10.0
